"Step","experiment_12 - Training Accuracy / Epoch","experiment_12 - Training Accuracy / Epoch__MIN","experiment_12 - Training Accuracy / Epoch__MAX","experiment_11 - Training Accuracy / Epoch","experiment_11 - Training Accuracy / Epoch__MIN","experiment_11 - Training Accuracy / Epoch__MAX","experiment_10 - Training Accuracy / Epoch","experiment_10 - Training Accuracy / Epoch__MIN","experiment_10 - Training Accuracy / Epoch__MAX","experiment_9 - Training Accuracy / Epoch","experiment_9 - Training Accuracy / Epoch__MIN","experiment_9 - Training Accuracy / Epoch__MAX","experiment_8 - Training Accuracy / Epoch","experiment_8 - Training Accuracy / Epoch__MIN","experiment_8 - Training Accuracy / Epoch__MAX","experiment_7 - Training Accuracy / Epoch","experiment_7 - Training Accuracy / Epoch__MIN","experiment_7 - Training Accuracy / Epoch__MAX","experiment_6 - Training Accuracy / Epoch","experiment_6 - Training Accuracy / Epoch__MIN","experiment_6 - Training Accuracy / Epoch__MAX","experiment_5 - Training Accuracy / Epoch","experiment_5 - Training Accuracy / Epoch__MIN","experiment_5 - Training Accuracy / Epoch__MAX","experiment_4 - Training Accuracy / Epoch","experiment_4 - Training Accuracy / Epoch__MIN","experiment_4 - Training Accuracy / Epoch__MAX","experiment_3 - Training Accuracy / Epoch","experiment_3 - Training Accuracy / Epoch__MIN","experiment_3 - Training Accuracy / Epoch__MAX"
"5","1.268","1.268","1.268","1.16","1.16","1.16","1.3","1.3","1.3","1.412","1.412","1.412","1.072","1.072","1.072","1.56","1.56","1.56","1.462","1.462","1.462","1.518","1.518","1.518","1.566","1.566","1.566","1.702","1.702","1.702"
"11","1.786","1.786","1.786","1.608","1.608","1.608","2.26","2.26","2.26","2.602","2.602","2.602","1.55","1.55","1.55","2.516","2.516","2.516","1.96","1.96","1.96","2.664","2.664","2.664","2.138","2.138","2.138","2.144","2.144","2.144"
"17","2.466","2.466","2.466","2.312","2.312","2.312","2.954","2.954","2.954","3.406","3.406","3.406","2.146","2.146","2.146","3.558","3.558","3.558","2.906","2.906","2.906","3.038","3.038","3.038","2.97","2.97","2.97","2.814","2.814","2.814"
"23","3.126","3.126","3.126","2.946","2.946","2.946","3.418","3.418","3.418","3.842","3.842","3.842","2.654","2.654","2.654","4.336","4.336","4.336","3.42","3.42","3.42","3.658","3.658","3.658","3.624","3.624","3.624","3.53","3.53","3.53"
"29","3.658","3.658","3.658","3.686","3.686","3.686","3.97","3.97","3.97","4.49","4.49","4.49","3.264","3.264","3.264","4.632","4.632","4.632","3.966","3.966","3.966","4.03","4.03","4.03","4.238","4.238","4.238","3.944","3.944","3.944"
"35","4.024","4.024","4.024","4.31","4.31","4.31","4.486","4.486","4.486","4.854","4.854","4.854","4.078","4.078","4.078","5.044","5.044","5.044","4.39","4.39","4.39","4.552","4.552","4.552","4.738","4.738","4.738","4.354","4.354","4.354"
"41","4.352","4.352","4.352","4.71","4.71","4.71","5.02","5.02","5.02","5.178","5.178","5.178","4.556","4.556","4.556","5.294","5.294","5.294","4.648","4.648","4.648","5.354","5.354","5.354","5.264","5.264","5.264","4.656","4.656","4.656"
"47","4.612","4.612","4.612","5.144","5.144","5.144","5.304","5.304","5.304","5.55","5.55","5.55","5.066","5.066","5.066","5.492","5.492","5.492","5.006","5.006","5.006","5.688","5.688","5.688","5.83","5.83","5.83","5.046","5.046","5.046"
"53","4.806","4.806","4.806","5.602","5.602","5.602","5.68","5.68","5.68","5.994","5.994","5.994","5.436","5.436","5.436","5.744","5.744","5.744","5.04","5.04","5.04","5.894","5.894","5.894","6.1","6.1","6.1","5.384","5.384","5.384"
"59","5.074","5.074","5.074","5.828","5.828","5.828","5.98","5.98","5.98","6.226","6.226","6.226","5.776","5.776","5.776","5.938","5.938","5.938","5.312","5.312","5.312","6.098","6.098","6.098","6.35","6.35","6.35","5.69","5.69","5.69"
