"Step","experiment_12 - Training Loss / Epoch","experiment_12 - Training Loss / Epoch__MIN","experiment_12 - Training Loss / Epoch__MAX","experiment_11 - Training Loss / Epoch","experiment_11 - Training Loss / Epoch__MIN","experiment_11 - Training Loss / Epoch__MAX","experiment_10 - Training Loss / Epoch","experiment_10 - Training Loss / Epoch__MIN","experiment_10 - Training Loss / Epoch__MAX","experiment_9 - Training Loss / Epoch","experiment_9 - Training Loss / Epoch__MIN","experiment_9 - Training Loss / Epoch__MAX","experiment_8 - Training Loss / Epoch","experiment_8 - Training Loss / Epoch__MIN","experiment_8 - Training Loss / Epoch__MAX","experiment_7 - Training Loss / Epoch","experiment_7 - Training Loss / Epoch__MIN","experiment_7 - Training Loss / Epoch__MAX","experiment_6 - Training Loss / Epoch","experiment_6 - Training Loss / Epoch__MIN","experiment_6 - Training Loss / Epoch__MAX","experiment_5 - Training Loss / Epoch","experiment_5 - Training Loss / Epoch__MIN","experiment_5 - Training Loss / Epoch__MAX","experiment_4 - Training Loss / Epoch","experiment_4 - Training Loss / Epoch__MIN","experiment_4 - Training Loss / Epoch__MAX","experiment_3 - Training Loss / Epoch","experiment_3 - Training Loss / Epoch__MIN","experiment_3 - Training Loss / Epoch__MAX"
"4","6.388131942895368","6.388131942895368","6.388131942895368","6.4036022732629805","6.4036022732629805","6.4036022732629805","6.363467590888138","6.363467590888138","6.363467590888138","6.276252259988614","6.276252259988614","6.276252259988614","6.624605813599609","6.624605813599609","6.624605813599609","6.508480877522618","6.508480877522618","6.508480877522618","6.184947371787732","6.184947371787732","6.184947371787732","6.062727558643312","6.062727558643312","6.062727558643312","6.173750441397547","6.173750441397547","6.173750441397547","6.274874925003637","6.274874925003637","6.274874925003637"
"10","4.610584902946297","4.610584902946297","4.610584902946297","4.603678219763519","4.603678219763519","4.603678219763519","4.5917764521011","4.5917764521011","4.5917764521011","4.597131124237919","4.597131124237919","4.597131124237919","4.602658519354622","4.602658519354622","4.602658519354622","4.594803943048658","4.594803943048658","4.594803943048658","4.610782813538066","4.610782813538066","4.610782813538066","4.568959411147915","4.568959411147915","4.568959411147915","4.603427378417891","4.603427378417891","4.603427378417891","4.602507183313979","4.602507183313979","4.602507183313979"
"16","4.568861016836922","4.568861016836922","4.568861016836922","4.5498765021029035","4.5498765021029035","4.5498765021029035","4.523464723621183","4.523464723621183","4.523464723621183","4.548366206381327","4.548366206381327","4.548366206381327","4.563656224619092","4.563656224619092","4.563656224619092","4.543298382283477","4.543298382283477","4.543298382283477","4.572751932436852","4.572751932436852","4.572751932436852","4.501409380637166","4.501409380637166","4.501409380637166","4.551786923347532","4.551786923347532","4.551786923347532","4.563384497562028","4.563384497562028","4.563384497562028"
"22","4.530086415503031","4.530086415503031","4.530086415503031","4.505988997876492","4.505988997876492","4.505988997876492","4.459599394932427","4.459599394932427","4.459599394932427","4.503879250163007","4.503879250163007","4.503879250163007","4.531505512764387","4.531505512764387","4.531505512764387","4.485673376971193","4.485673376971193","4.485673376971193","4.535764422867914","4.535764422867914","4.535764422867914","4.451075170960878","4.451075170960878","4.451075170960878","4.498892789606548","4.498892789606548","4.498892789606548","4.526366031993076","4.526366031993076","4.526366031993076"
"28","4.498165224519227","4.498165224519227","4.498165224519227","4.469667957262005","4.469667957262005","4.469667957262005","4.407098390867033","4.407098390867033","4.407098390867033","4.46088724002204","4.46088724002204","4.46088724002204","4.501149192185658","4.501149192185658","4.501149192185658","4.429343610773306","4.429343610773306","4.429343610773306","4.48976644774532","4.48976644774532","4.48976644774532","4.413330604353219","4.413330604353219","4.413330604353219","4.440379015320097","4.440379015320097","4.440379015320097","4.489807650866106","4.489807650866106","4.489807650866106"
"34","4.4681744929164875","4.4681744929164875","4.4681744929164875","4.434030799914504","4.434030799914504","4.434030799914504","4.3662892253807435","4.3662892253807435","4.3662892253807435","4.420719729055224","4.420719729055224","4.420719729055224","4.474500786008128","4.474500786008128","4.474500786008128","4.379053659756165","4.379053659756165","4.379053659756165","4.439987300302062","4.439987300302062","4.439987300302062","4.370840360746359","4.370840360746359","4.370840360746359","4.38365243341002","4.38365243341002","4.38365243341002","4.454141606455264","4.454141606455264","4.454141606455264"
"40","4.440677020250988","4.440677020250988","4.440677020250988","4.3977334380454725","4.3977334380454725","4.3977334380454725","4.3317429467540265","4.3317429467540265","4.3317429467540265","4.382248804392412","4.382248804392412","4.382248804392412","4.448844413928059","4.448844413928059","4.448844413928059","4.33807634819499","4.33807634819499","4.33807634819499","4.396907986277509","4.396907986277509","4.396907986277509","4.327149885694694","4.327149885694694","4.327149885694694","4.335144249984371","4.335144249984371","4.335144249984371","4.421716685185347","4.421716685185347","4.421716685185347"
"46","4.413773215335349","4.413773215335349","4.413773215335349","4.362380758270888","4.362380758270888","4.362380758270888","4.300717022107995","4.300717022107995","4.300717022107995","4.34090562214327","4.34090562214327","4.34090562214327","4.422368795975395","4.422368795975395","4.422368795975395","4.300374063994268","4.300374063994268","4.300374063994268","4.360718393264829","4.360718393264829","4.360718393264829","4.28606481625296","4.28606481625296","4.28606481625296","4.292042059971548","4.292042059971548","4.292042059971548","4.3879435355096215","4.3879435355096215","4.3879435355096215"
"52","4.385327308074288","4.385327308074288","4.385327308074288","4.32734405079766","4.32734405079766","4.32734405079766","4.2674305765220275","4.2674305765220275","4.2674305765220275","4.296969808885813","4.296969808885813","4.296969808885813","4.3944400436128195","4.3944400436128195","4.3944400436128195","4.268257233492859","4.268257233492859","4.268257233492859","4.327366714282414","4.327366714282414","4.327366714282414","4.249416353147658","4.249416353147658","4.249416353147658","4.256841036669739","4.256841036669739","4.256841036669739","4.353877398364075","4.353877398364075","4.353877398364075"
"58","4.35632220832893","4.35632220832893","4.35632220832893","4.295989506689788","4.295989506689788","4.295989506689788","4.237075972739998","4.237075972739998","4.237075972739998","4.256730551000142","4.256730551000142","4.256730551000142","4.364333674730852","4.364333674730852","4.364333674730852","4.239653893139051","4.239653893139051","4.239653893139051","4.297072243812444","4.297072243812444","4.297072243812444","4.217347951496349","4.217347951496349","4.217347951496349","4.224112372569111","4.224112372569111","4.224112372569111","4.320546835584714","4.320546835584714","4.320546835584714"
