"Step","experiment_12 - Training Loss / Step","experiment_12 - Training Loss / Step__MIN","experiment_12 - Training Loss / Step__MAX","experiment_11 - Training Loss / Step","experiment_11 - Training Loss / Step__MIN","experiment_11 - Training Loss / Step__MAX","experiment_10 - Training Loss / Step","experiment_10 - Training Loss / Step__MIN","experiment_10 - Training Loss / Step__MAX","experiment_9 - Training Loss / Step","experiment_9 - Training Loss / Step__MIN","experiment_9 - Training Loss / Step__MAX","experiment_8 - Training Loss / Step","experiment_8 - Training Loss / Step__MIN","experiment_8 - Training Loss / Step__MAX","experiment_7 - Training Loss / Step","experiment_7 - Training Loss / Step__MIN","experiment_7 - Training Loss / Step__MAX","experiment_6 - Training Loss / Step","experiment_6 - Training Loss / Step__MIN","experiment_6 - Training Loss / Step__MAX","experiment_5 - Training Loss / Step","experiment_5 - Training Loss / Step__MIN","experiment_5 - Training Loss / Step__MAX","experiment_4 - Training Loss / Step","experiment_4 - Training Loss / Step__MIN","experiment_4 - Training Loss / Step__MAX","experiment_3 - Training Loss / Step","experiment_3 - Training Loss / Step__MIN","experiment_3 - Training Loss / Step__MAX"
"0","4.679300308227539","4.679300308227539","4.679300308227539","4.484755992889404","4.484755992889404","4.484755992889404","5.1033935546875","5.1033935546875","5.1033935546875","4.617597579956055","4.617597579956055","4.617597579956055","4.847216606140137","4.847216606140137","4.847216606140137","4.761073112487793","4.761073112487793","4.761073112487793","4.453099250793457","4.453099250793457","4.453099250793457","4.4542388916015625","4.4542388916015625","4.4542388916015625","4.601493835449219","4.601493835449219","4.601493835449219","4.699074745178223","4.699074745178223","4.699074745178223"
"6","4.88081169128418","4.88081169128418","4.88081169128418","4.6209845542907715","4.6209845542907715","4.6209845542907715","4.564576148986816","4.564576148986816","4.564576148986816","4.81749153137207","4.81749153137207","4.81749153137207","4.575789451599121","4.575789451599121","4.575789451599121","4.655895709991455","4.655895709991455","4.655895709991455","4.708930492401123","4.708930492401123","4.708930492401123","4.693508148193359","4.693508148193359","4.693508148193359","4.5837554931640625","4.5837554931640625","4.5837554931640625","4.607675552368164","4.607675552368164","4.607675552368164"
"12","4.812641143798828","4.812641143798828","4.812641143798828","4.598975658416748","4.598975658416748","4.598975658416748","4.334290504455566","4.334290504455566","4.334290504455566","4.546063423156738","4.546063423156738","4.546063423156738","4.3714189529418945","4.3714189529418945","4.3714189529418945","4.814429759979248","4.814429759979248","4.814429759979248","4.4894304275512695","4.4894304275512695","4.4894304275512695","4.567895889282227","4.567895889282227","4.567895889282227","4.511113166809082","4.511113166809082","4.511113166809082","4.633166313171387","4.633166313171387","4.633166313171387"
"18","4.437399864196777","4.437399864196777","4.437399864196777","4.2323408126831055","4.2323408126831055","4.2323408126831055","4.307859897613525","4.307859897613525","4.307859897613525","4.274853706359863","4.274853706359863","4.274853706359863","4.610882759094238","4.610882759094238","4.610882759094238","4.393301010131836","4.393301010131836","4.393301010131836","4.385107040405273","4.385107040405273","4.385107040405273","4.502215385437012","4.502215385437012","4.502215385437012","4.508404731750488","4.508404731750488","4.508404731750488","4.425337791442871","4.425337791442871","4.425337791442871"
"24","4.98760986328125","4.98760986328125","4.98760986328125","4.476548194885254","4.476548194885254","4.476548194885254","4.370023727416992","4.370023727416992","4.370023727416992","4.588012218475342","4.588012218475342","4.588012218475342","4.342182636260986","4.342182636260986","4.342182636260986","4.478400230407715","4.478400230407715","4.478400230407715","4.618608474731445","4.618608474731445","4.618608474731445","4.650716304779053","4.650716304779053","4.650716304779053","4.54266357421875","4.54266357421875","4.54266357421875","4.527966499328613","4.527966499328613","4.527966499328613"
"30","4.353910446166992","4.353910446166992","4.353910446166992","4.911043167114258","4.911043167114258","4.911043167114258","3.9461216926574707","3.9461216926574707","3.9461216926574707","4.505402565002441","4.505402565002441","4.505402565002441","4.59536600112915","4.59536600112915","4.59536600112915","4.617513656616211","4.617513656616211","4.617513656616211","4.723687648773193","4.723687648773193","4.723687648773193","4.4027204513549805","4.4027204513549805","4.4027204513549805","4.45229959487915","4.45229959487915","4.45229959487915","4.572159290313721","4.572159290313721","4.572159290313721"
"36","4.038444519042969","4.038444519042969","4.038444519042969","4.798934459686279","4.798934459686279","4.798934459686279","4.153195381164551","4.153195381164551","4.153195381164551","4.578385353088379","4.578385353088379","4.578385353088379","4.5941362380981445","4.5941362380981445","4.5941362380981445","4.495941162109375","4.495941162109375","4.495941162109375","4.197958946228027","4.197958946228027","4.197958946228027","4.131772041320801","4.131772041320801","4.131772041320801","4.31915807723999","4.31915807723999","4.31915807723999","4.16487455368042","4.16487455368042","4.16487455368042"
"42","4.337883949279785","4.337883949279785","4.337883949279785","4.760316371917725","4.760316371917725","4.760316371917725","4.138854026794434","4.138854026794434","4.138854026794434","4.046667098999023","4.046667098999023","4.046667098999023","4.45620059967041","4.45620059967041","4.45620059967041","4.168442726135254","4.168442726135254","4.168442726135254","4.859660625457764","4.859660625457764","4.859660625457764","4.432353973388672","4.432353973388672","4.432353973388672","4.237703800201416","4.237703800201416","4.237703800201416","3.944161891937256","3.944161891937256","3.944161891937256"
"48","4.191154479980469","4.191154479980469","4.191154479980469","4.123653888702393","4.123653888702393","4.123653888702393","4.35139274597168","4.35139274597168","4.35139274597168","4.046509742736816","4.046509742736816","4.046509742736816","4.462982177734375","4.462982177734375","4.462982177734375","4.369229316711426","4.369229316711426","4.369229316711426","4.491446018218994","4.491446018218994","4.491446018218994","3.887674331665039","3.887674331665039","3.887674331665039","4.146044731140137","4.146044731140137","4.146044731140137","4.349865436553955","4.349865436553955","4.349865436553955"
"54","4.104841232299805","4.104841232299805","4.104841232299805","4.531627655029297","4.531627655029297","4.531627655029297","3.98429012298584","3.98429012298584","3.98429012298584","4.264301300048828","4.264301300048828","4.264301300048828","4.658974647521973","4.658974647521973","4.658974647521973","4.25984001159668","4.25984001159668","4.25984001159668","3.875094413757324","3.875094413757324","3.875094413757324","3.747802734375","3.747802734375","3.747802734375","4.308843612670898","4.308843612670898","4.308843612670898","4.6323065757751465","4.6323065757751465","4.6323065757751465"
